sample	ARID1A	CTNNB1	KRAS	PTEN	TP53
C3L-00006	-0.233	-0.824	-0.494	0.458	-0.0919
C3L-00361	-0.0644	-0.544	-0.124	0.617	-0.593
C3L-00586	-0.132	-0.86	0.00242	0.746	-0.131
C3L-00601	-0.185	-0.684	-0.0766	0.149	-0.0844
C3L-00769	0.0108	-0.533	-0.294	0.547	0.0243
C3L-00932	0.2	-0.613	-0.0228	0.594	NA
C3L-00947	-0.0205	-0.623	-0.269	0.245	NA
C3L-00963	-0.105	-0.595	0.157	0.522	NA
C3L-01246	0.0413	-0.779	0.0776	0.392	-0.00309
C3L-01249	-0.129	-0.803	-0.369	0.537	-0.625
C3L-01252	-0.453	-0.553	0.277	-0.107	NA
C3L-01256	-0.0652	-0.757	-0.129	0.418	1.13
C3L-01257	0.177	-0.132	-0.291	0.789	-0.067
C3L-01282	0.188	-0.503	-0.366	0.26	0.514
C3L-01304	-0.0872	-0.477	-0.174	0.226	0.25
C3L-01307	-0.032	-0.697	-0.303	0.314	0.795
C3L-01311	0.13	-0.337	-0.415	0.548	0.627
C3L-01744	-0.0549	-0.628	0.465	0.213	0.513
C3N-00333	-0.288	-0.556	0.441	0.45	-0.237
C3N-00383	-0.574	-0.326	0.656	0.031	-0.729
C3N-00729	-0.368	-0.623	-0.319	0.616	0.112
C3N-00858	-0.139	-0.698	-0.216	1.08	NA
C3N-00866	-0.215	-0.724	-0.107	0.248	NA
C3N-01346	-0.0681	-0.783	-0.0826	0.703	-0.0788
C3L-00563	-0.0839	-0.615	-0.346	0.158	-0.688
C3L-00605	-0.0834	-0.476	-0.163	0.521	-0.747
C3L-00770	0.0249	-0.398	0.012	0.112	-0.333
C3L-00771	-0.169	-0.589	-0.155	0.535	-0.174
C3N-00200	-0.313	-0.549	-0.0558	0.499	-1.01
C3N-01211	-0.0627	-0.975	-0.0484	1.01	0.0243
