sample	ARID1A	CTNNB1	KRAS	PTEN	TP53
C3L-00006	-0.879	0.803	-0.0603	-0.526	0.295
C3L-00008	-1.41	0.426	0.268	-0.83	0.277
C3L-00032	-1.04	0.00891	0.104	-0.941	-0.871
C3L-00090	0.385	0.788	0.0285	0.73	-0.343
C3L-00098	0.0106	-0.402	-0.256	-0.379	3.01
C3L-00136	0.202	1.43	0.214	0.0293	-0.148
C3L-00137	0.0622	0.971	-0.156	-1.01	0.441
C3L-00139	0.735	-0.252	-0.345	0.13	-1.22
C3L-00143	0.519	0.00979	0.253	0.39	-0.0825
C3L-00145	-0.0867	0.591	-0.166	0.0301	-0.181
C3L-00156	-1.61	0.573	0.35	-1.59	-0.000425
C3L-00161	-1.54	0.479	0.702	-1.04	-0.203
C3L-00358	0.733	-0.584	-0.0467	-0.539	2.12
C3L-00361	0.504	0.258	0.52	0.457	-0.243
C3L-00362	0.195	1.12	0.36	0.109	-0.00095
C3L-00413	-0.209	1.63	0.638	-1.7	0.0213
C3L-00449	-0.0384	0.0102	-0.0219	0.617	0.353
C3L-00563	0.269	1.07	0.14	-1.05	-0.403
C3L-00586	0.225	0.679	0.189	-1.21	-0.154
C3L-00601	0.149	0.858	-0.0875	-1.18	-0.0566
C3L-00605	-0.992	0.7	-0.00108	-0.212	-0.28
C3L-00767	0.393	0.91	-0.0707	-1.11	-0.519
C3L-00769	-0.113	0.194	-0.354	-0.219	-0.455
C3L-00770	0.137	0.531	0.752	-0.474	0.098
C3L-00771	-0.302	-0.234	-0.406	0.542	-0.209
C3L-00780	0.033	0.332	0.433	0.291	-0.0819
C3L-00781	-1.19	-0.103	-0.379	-0.7	0.709
C3L-00905	0.156	0.499	1.03	-1.24	1.56
C3L-00918	0.21	-0.244	-0.113	-0.59	-0.0338
C3L-00921	0.405	0.424	0.504	-1.24	-0.433
C3L-00932	0.234	0.0101	-0.0118	0.0823	NA
C3L-00942	-0.158	0.35	0.173	0.169	0.109
C3L-00946	-0.0132	0.127	-0.163	-0.51	0.874
C3L-00947	-0.0799	1.34	0.0115	-0.0624	NA
C3L-00949	0.343	0.377	-0.258	-0.0442	-0.212
C3L-00961	-0.144	-0.278	-0.239	0.311	NA
C3L-00963	0.384	-0.525	0.1	-0.347	NA
C3L-01246	0.401	-0.98	-0.218	0.176	-0.186
C3L-01248	-0.13	-0.228	0.196	0.287	NA
C3L-01249	-0.834	0.426	0.0131	-0.512	-0.84
C3L-01252	0.201	-0.0904	-0.454	0.748	NA
C3L-01256	0.0903	-0.21	-0.163	-0.0601	0.336
C3L-01257	-0.0907	0.529	-0.115	-1.16	0.0978
C3L-01275	-0.639	0.288	0.081	-0.0424	-0.134
C3L-01282	-0.0679	0.416	0.137	-0.589	0.963
C3L-01304	-0.344	0.918	0.111	-1.29	-0.195
C3L-01307	0.0696	0.177	0.349	-0.834	0.755
C3L-01311	0.0278	0.746	-0.0746	-0.219	0.00332
C3L-01312	0.138	0.379	0.0105	-0.506	-0.187
C3L-01744	-0.746	0.0821	-0.0533	-1.01	0.0313
C3L-01925	0.93	-0.418	0.288	0.091	-1.24
C3N-00151	0.431	0.247	0.212	-0.0473	0.315
C3N-00200	0.0503	0.339	0.258	0.159	-0.54
C3N-00321	-0.072	-0.57	0.344	-0.697	-0.0759
C3N-00322	0.268	-0.156	0.128	-0.883	0.859
C3N-00323	0.22	0.0962	-0.116	-1.64	-0.117
C3N-00324	-0.698	-0.39	-0.402	-0.788	0.00169
C3N-00326	0.34	-0.136	-0.293	-0.984	NA
C3N-00328	0.0883	-0.446	0.458	-1.1	-0.831
C3N-00333	-0.428	0.676	0.0458	-0.589	0.258
C3N-00334	-1.17	-0.396	0.115	-1.15	0.123
C3N-00335	-1	-1.29	-0.234	-1.5	NA
C3N-00337	0.431	0.392	0.236	1.43	0.628
C3N-00339	0.739	-0.289	-0.635	-0.139	3.03
C3N-00340	0.168	-0.877	-0.416	-0.56	1.21
C3N-00377	-1.14	-0.558	0.573	-0.376	0.142
C3N-00379	0.174	0.106	-0.122	0.629	-0.197
C3N-00383	-0.106	0.227	0.683	-0.00728	-0.213
C3N-00386	0.226	0.802	0.398	0.0998	-0.779
C3N-00388	-1.46	-0.0298	-0.00789	-0.126	0.174
C3N-00389	-0.356	0.179	0.348	-0.681	0.125
C3N-00729	-0.761	-0.301	-0.544	-0.00137	0.409
C3N-00734	-0.24	0.0836	-0.155	-0.491	NA
C3N-00743	0.29	0.813	0.0588	-0.728	-0.308
C3N-00836	0.0809	-0.915	-0.167	-0.0254	1.45
C3N-00847	-2.12	0.402	-0.298	-1.62	0.124
C3N-00848	-0.0128	-0.278	0.271	-1.14	0.0877
C3N-00850	0.269	0.0927	0.214	-0.6	NA
C3N-00858	0.426	0.675	0.0413	-1.16	NA
C3N-00866	-1.43	0.791	-0.107	-1.08	NA
C3N-00880	0.026	0.387	0.0548	-0.799	-0.7
C3N-01003	-0.00658	-0.151	-0.292	0.586	0.252
C3N-01211	-0.84	0.803	0.0789	-0.869	0.0725
C3N-01212	-0.793	-0.0147	-0.0509	-0.523	0.039
C3N-01217	-0.0658	0.0686	0.273	-0.772	-0.0541
C3N-01219	-1.1	0.242	0.0298	-0.434	-0.274
C3N-01267	-0.141	1	0.154	-0.372	-0.233
C3N-01346	0.927	-1.12	-0.23	0.0569	4
C3N-01349	0.795	-0.654	0.0449	-0.424	2.04
C3N-01510	-0.651	0.887	0.205	-2.05	1.12
C3N-01520	-0.428	0.666	0.662	-1.91	-0.257
C3N-01521	-1.65	0.354	-0.435	-0.616	1.2
C3N-01537	0.246	-0.494	-0.137	-0.164	-0.0333
C3N-01802	-0.12	-0.57	0.0691	-0.572	0.292
C3N-01825	0.2	-1.23	-0.0912	0.234	1.51
